States can receive a maximum of 100 points                                          ,TOTAL STATE POINTS
Alabama,-1
Alaska,-11
Arizona,-8
Arkansas,-25
California,66
Colorado,24
Connecticut,62
Delaware,46
Florida,-17.5
Georgia,-6
Hawaii,45
Idaho,-9
Illinois,33.5
Indiana,-1.5
Iowa,3
Kansas,-6
Kentucky,-8
Louisiana,-9
Maine,55
Maryland,54
Massachusetts,-15
Michigan,0
Minnesota,4.5
Mississippi,-7
Missouri,-9
Montana,-2.5
Nebraska,4.5
Nevada,-3
New Hampshire,-2
New Jersey,-5
New Mexico,56
New York,-6
North Carolina,-6.5
North Dakota,51.5
Ohio,-6
Oklahoma,-2
Oregon,5
Pennsylvania,25
Rhode Island,45
South Carolina,-1
South Dakota,-8
Tennessee,-1
Texas,-6
Utah,-6.5
Vermont,-12.5
Virginia,-9
Washington,31
West Virginia,3
Wisconsin,0
Wyoming,-11
